"Species","AUC_Explanatory","AUC_Predictive_5CV","TjurR2_Explanatory","TjurR2_Predictive_5CV"
"Pseudocheilinus octotaenia",0.919,0.882,0.435,0.389
"Pseudocheilinus tetrataenia",0.998,0.989,0.924,0.917
"Pseudojuloides atavai",0.93,0.909,0.553,0.525
"Pycnochromis acares",0.992,0.983,0.855,0.834
"Pycnochromis iomelas",0.963,0.952,0.739,0.715
"Pycnochromis margaritifer",0.938,0.907,0.532,0.469
"Pycnochromis vanderbilti",0.992,0.969,0.869,0.859
"Pygoplites diacanthus",0.948,0.925,0.575,0.523
"Rhinecanthus aculeatus",0.967,0.932,0.619,0.518
"Sargocentron microstoma",0.817,0.742,0.208,0.16
"Sargocentron spiniferum",0.806,0.746,0.186,0.14
"Scarus altipinnis",0.886,0.846,0.391,0.342
"Scarus forsteni",0.959,0.935,0.675,0.655
"Scarus frenatus",0.761,0.676,0.125,0.083
"Scarus globiceps",0.846,0.792,0.33,0.278
"Scarus niger",0.837,0.785,0.335,0.29
"Scarus oviceps",0.907,0.837,0.477,0.396
"Scarus rubroviolaceus",0.898,0.862,0.409,0.37
"Scarus schlegeli",0.79,0.705,0.152,0.096
"Siganus argenteus",0.72,0.534,0.056,0.002
"Siganus spinus",0.91,0.884,0.452,0.408
"Stegastes nigricans",0.976,0.966,0.769,0.737
"Stethojulis bandanensis",0.882,0.836,0.32,0.27
"Sufflamen bursa",0.99,0.986,0.879,0.855
"Synodus binotatus",0.729,0.564,0.071,0.021
"Thalassoma amblycephalum",0.809,0.693,0.124,0.071
"Thalassoma hardwicke",0.999,0.989,0.935,0.928
"Thalassoma lutescens",0.922,0.894,0.537,0.493
"Thalassoma quinquevittatum",0.97,0.959,0.727,0.691
"Valenciennea strigata",0.753,0.676,0.103,0.067
"Zanclus cornutus",0.811,0.754,0.227,0.18
"Zebrasoma velifer",0.742,0.643,0.132,0.084
