"Habitat","COTS","Max_DHW","Cyclone","Land_Dist","Depth_Mean_100m","Depth_Mean_500m","Curvature_Mean_100m","Curvature_Mean_500m","Coral_Mean_Cover","Macroalgae_Mean_Cover","CTB_Mean_Cover"
"Backreef",0,0,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,43.7575757575758,1.66666666666667,36.0707070707071
"Backreef",1,2,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,39.84,0.24,43.52
"Backreef",0,0,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,31.52,1.04,51.92
"Backreef",0,0,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,29.4545454545455,0.202020202020202,55.0707070707071
"Backreef",2,1,"3",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,23.35,0.16,58.85
"Backreef",0,0,"2",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,15.3877551020408,0.653061224489796,59.0612244897959
"Backreef",0,1,"1",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,12.7755102040816,10,60.1224489795918
"Backreef",0,1,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,12.96,6.72,66.92
"Backreef",0,0,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,8.29896907216495,9.8659793814433,55.2783505154639
"Backreef",0,0,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,5.17,19.05,51.04
"Backreef",0,5,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,6.48,12.6,60.28
"Backreef",0,3,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,9.46835443037975,18.379746835443,55.3417721518987
"Backreef",0,0,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,7.15,18.7,55.35
"Backreef",0,5,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,6.3030303030303,19.6767676767677,54.7878787878788
"Backreef",0,2,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,9,23.24,56.36
"Backreef",0,0,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,11.469387755102,23.0612244897959,50.2040816326531
"Backreef",0,0,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,10.88,18.8,51.68
"Backreef",1,0,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,15.64,15.88,52.08
"Backreef",0,7,"0",689.203186035156,1.67484316642742,6.03005030793936,2.16693729079474e-05,-0.00498612331107317,10.04,21.36,49.96
"Forereef",0,0,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,47.0783783783784,4.44285714285714,49.0842105263158
"Forereef",3,2,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,44.5916666666667,2.54166666666667,52.0805555555556
"Forereef",9,0,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,21.7973684210526,13.4894736842105,63.3815789473684
"Forereef",5,0,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,6.41621621621622,13.2702702702703,79.5297297297297
"Forereef",0,1,"3",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,0.344736842105263,20.3131578947368,78.7605263157895
"Forereef",0,0,"2",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,0.236842105263158,8.61578947368421,90.4868421052632
"Forereef",0,1,"1",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,3.24736842105263,11.9447368421053,83.6736842105263
"Forereef",0,1,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,13.5710526315789,11.4684210526316,73.3394736842105
"Forereef",0,0,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,31.3973684210526,5.84210526315789,61.2157894736842
"Forereef",0,0,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,53.9594594594595,1.07297297297297,43.9162162162162
"Forereef",0,5,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,67.8864864864865,2.89189189189189,28.1756756756757
"Forereef",0,3,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,74.1324324324324,1.07297297297297,20.2675675675676
"Forereef",0,0,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,80.272972972973,1.21081081081081,13.5891891891892
"Forereef",0,5,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,80.5736842105263,0.726315789473684,11.95
"Forereef",0,2,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,14.7868421052632,20.9789473684211,53.4078947368421
"Forereef",0,0,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,9.37297297297297,26.3702702702703,62.5594594594595
"Forereef",0,0,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,5.11081081081081,29.8567567567568,63.9756756756757
"Forereef",1,0,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,3.35263157894737,32.8657894736842,60.2052631578947
"Forereef",3,7,"0",1013.001953125,14.0766256823957,14.0214324141688,-0.0172021244703139,-0.0479927140209984,0.121052631578947,22.9131578947368,73.7052631578947
"Fringing",0,0,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,32.427027027027,1.55,53.1
"Fringing",0,2,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,26.01,0.605,59.435
"Fringing",0,0,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,30.755,1.355,42.2575
"Fringing",4,0,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,34.93,1.415,46.745
"Fringing",1,1,"3",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,35.11,0.81,39.7675
"Fringing",2,0,"2",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,29.3846153846154,7.84102564102564,45.9487179487179
"Fringing",1,1,"1",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,10.3375,33.0175,41.66
"Fringing",0,1,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,6.8025641025641,11.4410256410256,63.3
"Fringing",0,0,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,3.69210526315789,11.2131578947368,57.0105263157895
"Fringing",0,0,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,3.085,31.1125,42.905
"Fringing",0,5,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,2.8025,34.205,47.115
"Fringing",0,3,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,2.43333333333333,29.6538461538462,43.3
"Fringing",0,0,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,3.64,18.97,34.5775
"Fringing",0,5,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,4.2175,26.8275,13.95
"Fringing",0,2,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,5.42564102564103,6.97435897435897,0
"Fringing",0,0,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,6.695,24.7575,56.0475
"Fringing",0,0,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,6.3525,37.7475,50.05
"Fringing",0,0,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,7.08974358974359,32.8025641025641,45.0410256410256
"Fringing",0,7,"0",49.4974746704102,6.48368374087184,4.7177292782105,-0.0213201511327024,-0.00464518967849142,6.97948717948718,32.1641025641026,46.8615384615385
"Backreef",0,0,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,20.3265306122449,3.61224489795918,46.765306122449
"Backreef",1,2,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,26.4,1.84,51.28
"Backreef",6,0,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,25.6,0.24,57.84
"Backreef",12,0,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,30.32,3.84,49.32
"Backreef",2,1,"3",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,20.4,9.36,49.44
"Backreef",2,0,"2",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,11.3333333333333,8.125,63.5833333333333
"Backreef",0,1,"1",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,11.7959183673469,15.7551020408163,50.4591836734694
"Backreef",0,1,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,14.72,13,53.2
"Backreef",0,0,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,11.6,17.6,48.76
"Backreef",0,0,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,5.68,25.44,45.28
"Backreef",0,5,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,3.04,28.28,42.6
"Backreef",0,3,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,3.36,24.57,51.01
"Backreef",0,0,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,4.05,31.3,44.8
"Backreef",0,5,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,3.7979797979798,27.3131313131313,39.5959595959596
"Backreef",0,2,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,5.95918367346939,20.1326530612245,47.5612244897959
"Backreef",0,0,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,3.39393939393939,24.989898989899,46.9292929292929
"Backreef",0,0,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,4,24.36,44
"Backreef",0,0,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,4.44,29.8,42.2
"Backreef",8,7,"0",326.534851074219,1.75646683847264,7.40985217065063,-0.000791295948913667,-0.00738083160843787,5.21212121212121,22.6666666666667,35.5151515151515
"Forereef",0,0,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,28.8575,5.13513513513514,64.695
"Forereef",3,2,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,19.17,4.8175,73.975
"Forereef",12,0,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,8.1775,7.8075,80.8175
"Forereef",11,0,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,4.6525,15.0325,78.3325
"Forereef",0,1,"3",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,3.36410256410256,2.82564102564103,92.9076923076923
"Forereef",0,0,"2",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,1.9,10.2875,85.1725
"Forereef",0,1,"1",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,4.7075,14.0575,79.36
"Forereef",0,1,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,11.4,11.5325,73.065
"Forereef",0,0,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,21.53,6.6125,68.6875
"Forereef",0,0,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,34.99,7.715,52.7225
"Forereef",0,5,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,43.4210526315789,10.3421052631579,41
"Forereef",0,3,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,55.1641025641026,3.36410256410256,31.4564102564103
"Forereef",0,0,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,62.2825,2.495,23.6425
"Forereef",0,5,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,66.0425,2.3575,19.08
"Forereef",0,2,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,17.895,30.11,42.515
"Forereef",0,0,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,11.535,30.52,55.8
"Forereef",1,0,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,8.91794871794872,26.1051282051282,63.0692307692308
"Forereef",6,0,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,6.82857142857143,27.3628571428571,63.44
"Forereef",9,7,"0",960.416564941406,10.3359749356207,11.5762346990554,-0.00184270358003419,-0.0364705235800275,0.935897435897436,19.1769230769231,77.5717948717949
"Fringing",0,0,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,46.9842105263158,2.9,49.8923076923077
"Fringing",0,2,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,46.945,0.655,43.38
"Fringing",12,0,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,44.1075,0.8175,42.36
"Fringing",3,0,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,44.4575,1.39,39.3625
"Fringing",0,1,"3",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,39.6525,0.8825,58.1375
"Fringing",0,0,"2",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,25.7307692307692,3.75384615384615,61.225641025641
"Fringing",0,1,"1",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,18.6631578947368,4.68684210526316,73.3157894736842
"Fringing",0,1,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,15.2473684210526,1.78421052631579,73.2815789473684
"Fringing",0,0,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,7.17837837837838,8.38108108108108,80.8054054054054
"Fringing",0,0,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,2.98421052631579,11.3578947368421,80.9368421052632
"Fringing",0,5,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,1.71052631578947,16.0552631578947,81.25
"Fringing",0,3,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,2.38421052631579,19.95,65.55
"Fringing",0,0,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,2.825,17.3972222222222,41.475
"Fringing",0,5,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,3.14736842105263,52.9631578947368,19.0657894736842
"Fringing",0,2,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,3.71052631578947,26.4210526315789,0
"Fringing",0,0,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,3.85675675675676,27.7675675675676,66.8
"Fringing",0,0,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,2.85263157894737,31.0052631578947,64.2
"Fringing",0,0,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,2.1027027027027,20.6594594594595,71.8243243243243
"Fringing",5,7,"0",34,4.75168808294379,9.49143518648245,-0.0076195560927008,-0.00999004518160919,1.60833333333333,24.2833333333333,72.85
"Backreef",1,0,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,31.5473684210526,0.336842105263158,31.3894736842105
"Backreef",0,2,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,43.6,0,40.56
"Backreef",0,0,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,47.28,0.16,31.12
"Backreef",0,0,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,39,0.16,33.92
"Backreef",0,1,"3",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,42.12,1.32,25.4
"Backreef",0,0,"2",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,33.0721649484536,1.60824742268041,32.4948453608247
"Backreef",0,1,"1",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,24.1979166666667,9.5625,37.9583333333333
"Backreef",0,1,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,24.82,4.08,39.42
"Backreef",0,0,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,18.4242424242424,13.0909090909091,33.4545454545455
"Backreef",0,0,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,13.96,8.69,53.02
"Backreef",0,5,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,14.4,9.525,50.425
"Backreef",0,3,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,19.2,14.7333333333333,45.2
"Backreef",0,0,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,12.2,17.94,37.37
"Backreef",0,5,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,12.1616161616162,5.57575757575758,54.0606060606061
"Backreef",0,2,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,14.8453608247423,8.15463917525773,48.7525773195876
"Backreef",0,0,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,24.1264367816092,9.31034482758621,43.9770114942529
"Backreef",0,0,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,18.7878787878788,11.3939393939394,41.0909090909091
"Backreef",0,0,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,19.3939393939394,11.4747474747475,36.4848484848485
"Backreef",6,7,"0",479.025054931641,1.62792028605272,12.4794035335989,-0.000883166541358143,-0.0042209202834104,17.4,10.64,40.8
"Forereef",0,0,"0",772.36328125,20.7710248673683,10.8186946758962,-0.0108492303983285,-0.00544296193894909,40.5425,3.40357142857143,55.72
"Forereef",2,2,"0",772.36328125,20.7710248673683,10.8186946758962,-0.0108492303983285,-0.00544296193894909,31.5897435897436,3.97435897435897,63.9333333333333
"Forereef",6,0,"0",772.36328125,20.7710248673683,10.8186946758962,-0.0108492303983285,-0.00544296193894909,10.08,16.155,73.3025
"Forereef",3,0,"0",772.36328125,20.7710248673683,10.8186946758962,-0.0108492303983285,-0.00544296193894909,0.675,13.97,84.915
"Forereef",0,1,"3",772.36328125,20.7710248673683,10.8186946758962,-0.0108492303983285,-0.00544296193894909,0.554054054054054,1.47027027027027,97.8297297297297
"Forereef",0,0,"2",772.36328125,20.7710248673683,10.8186946758962,-0.0108492303983285,-0.00544296193894909,0.395,1.8075,97.2525
"Forereef",0,1,"1",772.36328125,20.7710248673683,10.8186946758962,-0.0108492303983285,-0.00544296193894909,0.905,9.425,89.66
"Forereef",0,1,"0",772.36328125,20.7710248673683,10.8186946758962,-0.0108492303983285,-0.00544296193894909,1.95384615384615,3.33589743589744,83.8461538461538
"Forereef",0,0,"0",772.36328125,20.7710248673683,10.8186946758962,-0.0108492303983285,-0.00544296193894909,4.565,2.2175,88.3575
