"(Intercept)","HabitatForereef","HabitatFringing","COTS","Max_DHW","Cyclone1","Cyclone2","Cyclone3","Land_Dist","Depth_Mean_100m","Depth_Mean_500m","Curvature_Mean_100m","Curvature_Mean_500m","Coral_Mean_Cover","Macroalgae_Mean_Cover","CTB_Mean_Cover"
1,0,0,-0.275381732233447,-0.688808532103504,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,1.4215060660962,-0.720366430056676,-0.788061095001605
1,0,0,-0.0301198769630332,0.280625698264391,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,1.17585837916081,-0.854596297020492,-0.396077286605335
1,0,0,-0.275381732233447,-0.688808532103504,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,0.654161063837632,-0.779327212741717,0.0459329849441837
1,0,0,-0.275381732233447,-0.688808532103504,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,0.524648793250413,-0.858169677789282,0.211724043027069
1,0,0,0.21514197830738,-0.204091416919557,0,0,1,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,0.141869349151291,-0.862123205448369,0.410591458972537
1,0,0,-0.275381732233447,-0.688808532103504,0,1,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.357395288734644,-0.815732871872471,0.421706148745465
1,0,0,-0.275381732233447,-0.204091416919557,1,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.521193503906757,0.0636865311805636,0.47754806837757
1,0,0,-0.275381732233447,-0.204091416919557,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.509625254960225,-0.244916714362414,0.835237041282611
1,0,0,-0.275381732233447,-0.688808532103504,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.801890558047946,0.0510770196390163,0.222650297241644
1,0,0,-0.275381732233447,-0.688808532103504,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.998089448033248,0.915168047084206,-0.000372853027670814
1,0,0,-0.275381732233447,1.73477704381623,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.915947202471545,0.308311055086582,0.4858384456768
1,0,0,-0.275381732233447,0.765342813448338,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.728565413581733,0.852106369670261,0.225987560901485
1,0,0,-0.275381732233447,-0.688808532103504,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.873935519627011,0.882237822712242,0.226420512493571
1,0,0,-0.275381732233447,1.73477704381623,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.927043911101672,0.974138333441506,0.196841542301495
1,0,0,-0.275381732233447,0.280625698264391,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.757933111772699,1.30938987599429,0.279566985620358
1,0,0,-0.275381732233447,-0.688808532103504,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.603092611492814,1.29256953981362,-0.044359103568651
1,0,0,-0.275381732233447,-0.688808532103504,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.640049583791019,0.891646458247089,0.0333041200427688
1,0,0,-0.0301198769630332,-0.688808532103504,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.341578523582086,0.61691430062956,0.0543522282117934
1,0,0,-0.275381732233447,2.70421127418413,0,0,0,0.217757250034352,-0.941715796537914,-0.574564357627469,0.834005647311034,0.613747340937767,-0.692720947357301,1.13250752793917,-0.0572027450840375
1,1,0,-0.275381732233447,-0.688808532103504,0,0,0,1.01597861745823,0.600782132210788,1.31486918507324,-0.487790837448262,-2.06277907615846,1.62973368772972,-0.459164786398785,-0.103287024022533
1,1,0,0.460403833577794,0.280625698264391,0,0,0,1.01597861745823,0.600782132210788,1.31486918507324,-0.487790837448262,-2.06277907615846,1.47380690600103,-0.638040869126766,0.0543814616953639
1,1,0,1.93197496520027,-0.688808532103504,0,0,0,1.01597861745823,0.600782132210788,1.31486918507324,-0.487790837448262,-2.06277907615846,0.0445131320331608,0.391998392212323,0.64904436862425
1,1,0,0.95092754411862,-0.688808532103504,0,0,0,1.01597861745823,0.600782132210788,1.31486918507324,-0.487790837448262,-2.06277907615846,-0.919946701120722,0.371374341914748,1.4987644296164
1,1,0,-0.275381732233447,-0.204091416919557,0,0,1,1.01597861745823,0.600782132210788,1.31486918507324,-0.487790837448262,-2.06277907615846,-1.30065276957189,1.03401396962964,1.45828873796491
1,1,0,-0.275381732233447,-0.688808532103504,0,1,0,1.01597861745823,0.600782132210788,1.31486918507324,-0.487790837448262,-2.06277907615846,-1.30741820160891,-0.0665487922754749,2.07533064586738
1,1,0,-0.275381732233447,-0.204091416919557,1,0,0,1.01597861745823,0.600782132210788,1.31486918507324,-0.487790837448262,-2.06277907615846,-1.11864614672224,0.246659732766142,1.71682043501471
1,1,0,-0.275381732233447,-0.204091416919557,0,0,0,1.01597861745823,0.600782132210788,1.31486918507324,-0.487790837448262,-2.06277907615846,-0.471309808155432,0.201844916139633,1.17303148251629
